что,ингредиенты,сколько ?,сколько по факту нужно ,приблизительная цена,где купить ,"Белки, г","Жиры, г","Углеводы, г",каллорийность (100 г)
,Масло Слобода подс.оливк.1.0 пл/б,,15 мл,-,Akademshop,,,,
Паштет из печени и грибов в домашних условиях,,,,"113,3",,"11,9","11,6","2,1","160,9"
https://kalkulyator-kaloriy.ru/pashtet-iz-pecheni-i-gribov/,Печень Евсино кур.охл. – 300 г,300 г,300 г,75,Akademshop,,,,
,Грибы Шампиньоны вес – 100 г,100 г,100 г,"32,9",Akademshop,,,,
,Лук репчатый вес – 1 шт,100 г,1 шт,"5,4",Akademshop,,,,
,Масло Аннинское подс.раф.дез.0.9 пл/б – 15 мл,,15 мл,-,Akademshop,,,,
,Масло БЗМЖ Простоквашино Сливочное 82% 180г фольга – 30 г,180 г,30 г,235,Akademshop,,,,
,Соль Усольская Экстра 1000г пак – по вкусу,,по вкусу,-,Akademshop,,,,
,Специи – по вкусу,,по вкусу,-,Akademshop,,,,
Картошка с фрикадельками в кастрюле,,,,"328,2",,"6,3",7,10,129
https://kalkulyator-kaloriy.ru/kartoshka-s-frikadelkami-v-kastryule/,Фарш Говяжий п/ф говядина – 350 г,400 г,350 г,"199,6",Akademshop,,,,
,Яйцо Куриное 10шт отборное Яркое Утро – 1 шт,10 шт,1 шт,85,Akademshop,,,,
,Соль – по вкусу,-,по вкусу,-,Akademshop,,,,
,Специи – по вкусу,-,по вкусу,-,Akademshop,,,,
,Картофель вес – 700 г,700 г,700 г,"32,2",Akademshop,,,,
,Лук репчатый вес – 2 шт,200 г,2 шт,"7,2",Akademshop,,,,
,Морковь вес – 1 шт,100 гр,1 шт,"4,2",Akademshop,,,,
,Масло Аннинское подс.раф.дез.0.9 пл/б – 15 мл, ,15 мл,-,Akademshop,,,,
"Свинина с помидорами, грибами и сыром в духовке",,,,"423,1",,"8,4","12,4","1,9",153
https://kalkulyator-kaloriy.ru/svinina-s-pomidorami-gribami-i-syrom-v-duhovke/,Фарш из свинины п/ф свинина 100% – 400 г,400г,400 г,"135,6",Akademshop,,,,
,Лук репчатый – 1 шт,100 г,1 шт,"3,6",Akademshop,,,,
,Томаты Красные вес – 3 шт,300 г,3 шт,"50,7",Akademshop,,,,
,Грибы Шампиньоны вес – 6-7 шт,400 г,6-7 шт,"131,6",Akademshop,,,,
,Майонез Calve Классический пак.доз. – 40 мл,200 мл,40 мл,50,Akademshop,,,,
,Сыр БЗМЖ Витязь Брюкке 50% – 100 г,100 г,100 г,"51,6",Akademshop,,,,
,Соль – по вкусу,-,по вкусу,-,Akademshop,,,,
,Специи – по вкусу,-,по вкусу,-,Akademshop,,,,
,Масло Аннинское подс.раф.дез.0.9 пл/б – 15 мл,,15 мл,-,Akademshop,,,,
Овощной салат с брынзой ,,,,"364,3",,"3,6","10,6","2,1","119,6"
https://kalkulyator-kaloriy.ru/ovoshhnoy-salat-s-brynzoy/,Томаты Красные вес,100 г ,1 шт,"16,9",Akademshop,,,,
,Огурец Толмачевский ТК шт,1 шт,1 шт,54,Akademshop,,,,
,Сыр БЗМЖ Академ.хоз-во Брынза 45% вес,100 г ,100 г,"79,9",Akademshop,,,,
,Шпинат Белая Дача 75 г, 1 шт,30 г,150,Akademshop,,,,
,Салат Айсберг вес,100 г ,30 г ,"22,9",Akademshop,,,,
,Петрушка вес,100 г ,3 веточки,"40,6",Akademshop,,,,
